RH50_0deg_O_scan1_2.Analysis-Filter
"BaryCenterX","BaryCenterY","BaryCenterZ","EqDiameter","OrientationPhi","OrientationTheta","Volume3d","Anisotropy","AspectRatio","index"
229.464,244.839,110.333,25.5108,12.3434,92.2824,8692.98,0.999203,0,170
990.245,221.336,15.9666,13.9528,0.899424,141.198,1422.28,0.964379,0,172
735.301,268.193,101.458,22.4591,24.2257,84.0654,5931.62,0.998991,0,174
748.457,328.153,142.88,30.0206,36.1418,86.9457,14166.3,0.999604,0,175
686.535,238.371,8.52872,12.9888,50.7054,105.967,1147.38,0.931427,0,176
727.127,249.549,115.952,29.5131,9.33916,59.559,13459.9,0.998931,0,177
165.211,248.385,44.5022,17.7875,27.0182,88.7526,2946.73,0.997073,0,178
1167.91,233.443,0.139286,1.94367,84.0284,84.3987,3.84475,0.911073,0,182
737.721,301.091,149.013,23.6292,23.8583,82.3166,6907.92,0.999789,0,184
186.779,269.452,64.4991,21.3452,26.6929,104.016,5092.1,0.998547,0,186
921.208,282.232,354.001,36.9111,6.52335,76.0919,26331,0.999922,0,188
868.15,240.612,93.5595,27.2926,3.62727,102.818,10644.7,0.996109,0,191
1103.14,289.192,64.2505,21.527,35.37,95.95,5223.37,0.998757,0,192
530.629,439.1,135.279,45.7172,74.6158,95.4373,50030.9,0.998657,0,196
655.394,776.105,64.5191,60.4297,82.7134,83.0876,115545,0.979967,0,197
165.175,247.695,6.01008,8.08333,3.26384,44.0661,276.547,0.905277,0,198
940.695,426.721,172.073,55.6498,33.9721,94.8376,90237.9,0.970878,0,200
365.811,260.056,70.6964,20.6926,8.68962,43.1358,4639.24,0.998484,0,203
730.474,294.308,53.859,20.898,36.574,93.1354,4778.75,0.998067,0,206
529.1,253.5,0.325,1.01607,0,90,0.54925,1,0,207
527.8,254.15,0.325,1.01607,0,90,0.54925,1,0,208
164.784,258.955,18.7908,11.9725,4.66461,86.9363,898.573,0.985138,0,210
881.83,280.926,61.1354,20.5434,20.6104,91.208,4539.55,0.997938,0,212
1169.26,278.51,92.7153,27.2837,9.83433,79.1185,10634.3,0.997992,0,213
987.033,260.811,10.0618,9.13417,18.5908,115.072,399.03,0.966781,0,214
921.677,277.434,5.56939,12.9148,71.2416,117.984,1127.88,0.974272,0,216
150.242,301.285,93.5857,20.5043,23.2471,97.1056,4513.74,0.999498,0,218
560.3,262.925,0,1.01607,90,90,0.54925,1,0,224
714.157,279.42,5.20579,11.8118,65.9213,67.0046,862.872,0.964858,0,225
140.364,265.627,56.2997,18.9916,19.4424,104.914,3586.6,0.99171,0,228
164.902,270.862,0.433333,3.30773,89.7434,111.033,18.9491,0.963055,0,229
683.716,338.051,12.1626,18.0053,77.7914,91.7366,3056.3,0.998368,0,235
765.642,339.41,71.7193,24.2637,36.9994,83.4837,7479.41,0.998543,0,237
226.993,304.167,51.7571,16.712,26.5456,97.7158,2443.89,0.998668,0,241
1173.65,286.92,38.7362,17.9966,5.67315,85.4257,3051.91,0.993611,0,243
388.017,366.875,185.229,26.7959,24.6568,72.5494,10074.1,0.999866,0,244
649.893,415.751,30.976,24.706,76.9743,87.4375,7896.02,0.999132,0,246
1065.85,299.122,111.549,26.8695,4.08863,109.182,10157.3,0.999041,0,249
881.929,319.651,145.439,28.9898,10.5966,106.135,12756.6,0.999444,0,250
838.672,316.631,43.372,16.9435,28.5043,73.8864,2546.87,0.997599,0,251
387.586,370.218,155.211,29.3071,23.1664,74.3469,13180.1,0.997785,0,252
435.192,329.59,82.0075,21.5066,21.3397,81.56,5208.54,0.999076,0,254
706.859,357.419,47.0054,19.9405,50.6744,92.6256,4151.51,0.998937,0,256
174.943,350.488,195.99,43.4581,7.52477,80.6453,42974.4,0.995828,0,257
1167.08,304.554,27.006,14.7086,1.93535,43.6172,1666.15,0.990329,0,259
420.923,316.633,52.4436,18.1045,13.5119,93.5318,3107.11,0.9976,0,260
606.052,584.501,137.944,40.3711,68.4966,82.2001,34451.7,0.995452,0,262
675.949,314.897,0.935445,7.4771,85.5359,47.4746,218.876,0.963773,0,264
1237.27,345.046,101.475,20.3877,20.7251,75.724,4437.12,0.999344,0,266
659.626,320.907,1.6397,7.60922,77.4557,57.1368,230.685,0.853245,0,270
437.357,317.925,1.81071,3.88735,75.7105,120.513,30.758,0.933795,0,271
428.022,334.47,40.9389,17.6919,10.3908,64.2357,2899.49,0.995185,0,278
1192.1,333.601,52.0603,18.0117,6.08541,115.9,3059.6,0.997369,0,281
1170.27,335.805,36.1319,16.2286,11.4549,102.292,2237.92,0.994558,0,282
111.313,379.57,58.1466,23.1919,39.2732,82.2608,6531.41,0.997373,0,283
755.603,337.781,67.3216,18.3268,8.4389,146.899,3223,0.998796,0,285
283.067,365.146,48.5401,16.17,27.1927,112.519,2213.75,0.998519,0,296
681.466,377.316,35.175,18.8569,51.7503,133.318,3510.81,0.997278,0,298
949.896,354.596,22.2149,14.7328,22.5236,92.7939,1674.39,0.987136,0,299
1120.74,344.743,1.77929,4.70041,42.9798,136.221,54.3757,0.692462,0,300
371.255,349.923,39.2043,17.3473,1.43278,146.54,2733.34,0.995051,0,305
1186.45,374.267,76.8981,15.3997,16.6087,110.638,1912.21,0.999589,0,310
148.377,371.584,60.6784,17.2427,15.9542,67.6496,2684.18,0.998718,0,311
672.813,401.504,45.1539,19.8526,54.5662,134.432,4096.86,0.998877,0,312
1119.47,357.369,6.01239,9.22545,17.2231,79.3557,411.114,0.848827,0,313
192.51,391.003,119.115,22.6464,16.3568,84.0113,6081.3,0.999627,0,314
624.162,357.012,0,1.28017,90,71.565,1.0985,1,0,317
1165.59,370.82,69.2903,20.2389,8.2831,98.73,4340.72,0.998598,0,319
391.307,363.238,28.8684,17.0476,4.1127,100.999,2594.11,0.985957,0,320
619.929,361.229,0.239474,2.15195,88.3038,86.1113,5.21787,0.961075,0,321
625.95,361.4,0.325,1.01607,0,90,0.54925,1,0,322
657.993,470.033,13.4511,25.8794,87.2186,75.8098,9075.26,0.997552,0,324
569.29,443.716,51.8579,17.349,57.0308,69.2488,2734.17,0.999664,0,327
69.1383,372.793,5.7683,9.46175,24.0305,77.447,443.519,0.84406,0,329
622.897,279.355,92.3739,54.3523,82.6467,84.1167,84072,0.984513,0,332
948.151,382.331,15.9261,13.4703,29.1171,89.2113,1279.75,0.979524,0,333
736.892,378.825,28.8633,17.4294,7.27924,134.836,2772.34,0.984334,0,336
1079.71,400.618,26.8845,15.4438,44.0171,72.4114,1928.69,0.996594,0,337
216.223,396.682,43.3678,18.3948,21.749,89.5217,3258.97,0.996188,0,339
586.707,394.741,8.19437,11.7905,62.0186,64.0505,858.203,0.985767,0,340
364.05,392.358,117.978,25.124,7.31128,45.7003,8303.56,0.999334,0,343
292.791,408.778,98.0026,23.3196,15.2106,82.1023,6639.88,0.999241,0,344
1239.52,385.901,74.2032,22.5588,4.36954,147.06,6010.99,0.998071,0,346
1060.79,381.571,0.857447,3.66682,86.8295,162.986,25.8147,0.776884,0,348
1046.56,387.17,82.7687,19.9721,2.50834,61.3838,4171.28,0.999124,0,350
1086.55,428.896,42.0627,17.385,44.2064,72.0801,2751.19,0.998481,0,354
428.154,405.864,58.9751,20.4208,16.0891,65.2015,4458.81,0.997867,0,355
308.184,395.005,15.9082,11.8617,9.1733,125.331,873.857,0.978786,0,360
1230.68,404.776,3.13888,7.7718,46.0341,75.1448,245.789,0.783879,0,366
128.286,409.118,33.8772,16.0738,11.316,64.9881,2174.48,0.993973,0,367
983.143,406.043,162.592,32.7425,1.53796,120.44,18379.6,0.997682,0,368
1096,409.105,29.0542,16.4467,11.8613,59.0873,2329.37,0.986133,0,369
759.52,404.774,1.78408,5.58979,72.0935,92.0681,91.4501,0.748029,0,370
1090.3,430.867,25.176,16.5686,43.3541,68.0683,2381.55,0.992515,0,374
1177.11,413.947,100.247,22.7712,4.70977,45.1243,6182.36,0.999252,0,375
622.824,463.379,21.374,17.4317,70.1229,60.5694,2773.44,0.998691,0,376
661.942,438.852,10.8294,12.435,67.3,93.5671,1006.78,0.994228,0,378
289.087,426.219,38.8673,17.8458,19.1277,101.687,2975.84,0.994986,0,379
374.167,435.842,55.5958,28.0952,4.24718,179.812,11611.7,0.986254,0,380
283.007,423.009,8.05708,10.5957,17.7142,83.629,622.849,0.910945,0,389
1044.98,428.319,50.6282,16.8566,9.59646,84.6769,2507.88,0.997953,0,390
1090.85,431.611,10.5533,9.52769,43.0609,68.2349,452.857,0.986754,0,395
851.702,434.898,25.1044,13.7181,22.8401,99.5444,1351.7,0.992084,0,397
925.894,459.733,41.6338,15.9394,39.4212,87.8217,2120.38,0.998471,0,399
256.543,434.987,70.281,21.4748,8.40667,51.7449,5185.47,0.998222,0,400
767.21,430.693,6.72466,10.125,36.5314,122.026,543.483,0.906326,0,401
651.544,424.937,0.56875,1.61291,16.8194,53.8228,2.197,0.820957,0,402
718.357,499.211,176.48,31.7155,19.2005,140.112,16703.8,0.994221,0,407
461.5,433.179,0.65,1.54269,27.0498,90.5216,1.92237,1.00031,0,409
1257.83,466.907,135.847,23.6755,15.4956,66.9476,6948.56,0.999665,0,413
1042.04,448.335,149.873,26.9984,5.07234,54.7834,10304.2,0.999633,0,416
576.294,441.654,1.93748,8.16544,74.4627,129.994,285.061,0.901268,0,417
1220.58,471.164,1.09207,9.78273,87.2789,89.788,490.206,0.992922,0,420
675.368,545.633,30.2044,25.5558,71.2822,93.1734,8739.12,0.9955,0,421
1001,449.069,32.4126,13.5144,4.26477,85.3499,1292.39,0.995744,0,425
275.32,478.626,77.3122,22.6774,21.9921,99.4639,6106.29,0.996823,0,427
1244.59,458.947,75.8322,19.4788,9.16531,105.886,3869.74,0.998936,0,428
145.093,450.34,21.5675,9.9832,6.53479,46.8597,520.964,0.994736,0,431
1287.95,468.842,142.303,27.6006,8.79318,47.4324,11009.2,0.999531,0,434
239.545,456.812,29.7828,12.2966,12.6973,119.966,973.546,0.996047,0,435
369.082,456.443,52.5556,19.2677,3.60092,84.5672,3745.34,0.996985,0,436
352.103,458.749,54.0022,21.2631,3.58335,59.057,5033.6,0.996323,0,438
735.798,480.303,58.8682,20.6534,21.6311,124.653,4612.88,0.997973,0,440
837.921,482.259,99.7159,27.0571,13.1004,113.795,10371.5,0.997174,0,444
129.464,469.115,12.0104,10.5204,24.556,73.0885,609.667,0.971635,0,447
64.8296,516.128,185.312,31.0292,9.98084,96.2488,15642.6,0.997939,0,453
509.771,491.715,22.2166,13.4258,50.0374,60.546,1267.12,0.996663,0,457
1023.27,501.114,77.3501,22.316,30.1184,42.6541,5819.03,0.999071,0,460
572.953,543.102,50.0852,20.6329,56.3052,68.0743,4599.14,0.999259,0,461
1113.65,488.526,26.8811,13.4933,37.4588,52.541,1286.34,0.996832,0,464
1284.08,475.989,9.75,11.1191,18.6723,70.5848,719.792,0.953265,0,465
1232.21,481.665,36.495,16.6321,8.47848,84.867,2409.01,0.994559,0,470
968.523,480.211,0.232143,2.44887,87.3687,110.785,7.6895,0.968551,0,474
609.752,647.629,72.1447,60.2253,75.9477,86.0097,114376,0.993136,0,475
750.321,489.704,25.0491,14.3117,17.7531,109.243,1534.88,0.9893,0,476
349.758,492.533,117.009,28.3339,1.57462,91.2779,11910.2,0.99882,0,482
767.924,497.848,103.761,17.9977,6.90103,56.5545,3052.46,0.999688,0,483
820.118,552.346,147.905,33.4272,5.72209,102.281,19556.9,0.996653,0,484
141.632,492.468,5.47141,9.4461,20.0132,92.7281,441.322,0.846156,0,486
741.624,489.944,1.612,2.35809,31.3605,93.5855,6.86562,0.939331,0,487
1064.57,526.059,82.8643,26.7374,16.6152,61.183,10008.2,0.990147,0,489
46.5751,552.347,125.782,22.4532,23.5521,104.312,5926.96,0.999749,0,491
510.63,508.848,97.3122,26.025,39.2625,83.8284,9229.32,0.995075,0,494
1061.68,620.348,165.066,46.8242,15.2445,84.2972,53753.7,0.984885,0,504
752.394,556.028,92.5184,29.0776,24.2457,88.5215,12872.8,0.993894,0,507
547.733,507.217,0,1.16311,90,55.1716,0.823875,1,0,510
723.67,571.985,65.9463,26.4351,43.7874,94.2852,9672.57,0.996575,0,511
235.609,548.832,175.044,35.0949,7.7247,107.271,22632.4,0.996156,0,515
1298.85,530.127,33.9649,16.8725,9.9615,123.337,2515.02,0.993016,0,524
406.9,523.9,0,1.16311,90,90,0.823875,1,0,526
835.607,528.324,38.8117,18.5047,6.44742,158.913,3317.74,0.990897,0,527
1149.09,590.874,289.947,36.7758,17.4245,75.6746,26042.7,0.999746,0,529
667.849,660.106,56.0148,24.0802,67.1835,107.351,7311.07,0.999679,0,531
587.941,687.98,40.9667,26.1715,74.5954,96.22,9386.13,0.999649,0,535
551.605,645.861,82.0465,23.6777,53.4339,93.4554,6950.48,0.999687,0,536
1277.52,666.488,776.326,83.7183,5.66351,61.8362,307227,0.998,0,541
870.698,556.442,30.3974,16.3407,28.935,92.5705,2284.61,0.990846,0,543
321.559,543.72,17.5539,14.9971,6.44675,127.511,1766.11,0.96238,0,546
157.323,549.557,58.0262,18.1836,7.32246,84.0466,3148.03,0.998074,0,547
585.941,552.327,3.73948,9.00667,66.4596,70.962,382.553,0.950634,0,549
1276.63,543.679,9.54553,9.25208,1.6086,152.733,414.684,0.948606,0,552
1308.26,616.772,113.206,38.9384,7.29077,50.9107,30912.3,0.993121,0,559
635.7,546,0.325,1.01607,0,90,0.54925,1,0,561
776.997,555.982,22.0643,12.3884,16.7908,116.87,995.516,0.989447,0,563
1166.59,590.375,47.7973,23.6371,18.7832,71.3053,6914.78,0.99076,0,565
933.183,551.694,3.12549,7.0321,28.0998,155.721,182.076,0.764115,0,567
1067.19,551.718,3.41996,7.43622,6.04566,155.947,215.306,0.805468,0,568
902.161,554.644,12.885,11.5386,8.05891,152.161,804.377,0.927772,0,570
1094.95,558.039,30.1141,16.0582,9.47999,109.359,2168.16,0.990523,0,571
111.067,576.372,76.2599,20.0815,15.7878,105.185,4240.21,0.999048,0,574
245.05,554.465,0.680233,3.5597,76.2736,142.371,23.6177,0.668207,0,575
14.2626,555.749,6.97214,8.61015,13.4572,168.545,334.219,0.92121,0,578
317.409,558.104,5.54317,8.77443,16.0092,140.49,353.717,0.903701,0,579
621.801,645.026,37.3295,20.8511,66.1507,89.6156,4746.62,0.999297,0,581
686.47,633.124,38.4613,19.8335,62.504,103.447,4085.05,0.999027,0,582
699.91,727.938,88.2865,33.2891,67.897,95.0466,19315.5,0.999296,0,584
778.362,570.799,35.2363,17.3838,18.1525,124.26,2750.64,0.986902,0,585
1100.48,577.229,109.363,22.3002,8.19838,97.4264,5806.67,0.999487,0,588
59.4857,563.554,2.30526,5.58979,14.807,143.323,91.4501,0.742987,0,589
326.256,566.888,0.69382,3.60062,87.3981,113.877,24.4416,0.869394,0,592
515.24,574.41,2.07874,6.01055,37.5764,86.5356,113.695,0.740537,0,600
1306.5,571.133,0.794444,1.6775,11.9364,91.1929,2.47162,1.00146,0,601
54.7631,620.452,123.613,26.144,20.5324,79.1735,9356.47,0.999493,0,602
141.944,576.715,98.5749,23.2632,3.05715,162.036,6591.82,0.999144,0,603
1242.56,662.585,253.463,73.2011,9.551,86.0851,205377,0.901091,0,612
154.053,587.625,106.167,20.0702,13.0054,157.724,4233.07,0.999632,0,613
875.724,927.364,283.809,41.3382,52.408,76.1166,36987.3,0.997994,0,614
554.667,648.724,68.7777,25.8092,58.5619,94.695,9001.66,0.987762,0,622
1265.5,597.122,8.25845,12.2269,45.0986,78.1109,957.068,0.94152,0,627
1113.72,593.661,13.1988,9.83723,18.3609,71.6214,498.444,0.979421,0,630
30.935,676.42,40.9503,26.3271,72.3727,97.1504,9554.48,0.988664,0,631
239.93,602.625,54.0622,18.5001,9.37348,86.0268,3315.27,0.997701,0,632
561.116,602.032,4.59888,9.07087,56.1739,86.0241,390.791,0.952522,0,633
583.65,594.537,0.925,3.79249,76.4795,91.9053,28.561,0.881712,0,634
566.328,676.115,49.858,22.4045,60.1194,66.8605,5888.51,0.99894,0,638
920.079,637.738,71.8095,19.948,30.2018,75.7758,4156.17,0.999193,0,639
405.514,599.562,16.1426,12.1195,8.43372,108.924,932.077,0.976729,0,642
899.103,602.278,37.6971,17.1052,6.95002,57.9781,2620.47,0.992362,0,644
721.596,607.874,13.5927,12.6067,38.1341,130.921,1049.07,0.978364,0,647
737.425,599.625,0.24375,2.03214,83.326,105.462,4.394,0.917145,0,648
1128.8,603.101,42.7633,17.9044,3.00425,61.4478,3005.22,0.995233,0,649
1198.23,613.997,23.1884,15.2988,15.7026,83.7948,1874.86,0.980375,0,656
1271.44,668.008,105.744,33.4181,7.51795,44.1744,19540.9,0.986259,0,658
544.031,629.253,78.4696,20.194,19.9261,45.4433,4311.89,0.999048,0,659
3.92254,616.972,23.1318,10.1437,17.6913,93.1183,546.504,0.998733,0,660
899.844,619.313,105.462,23.4134,5.94094,54.8287,6720.35,0.999296,0,662
1205.41,619.852,67.7735,19.0679,11.4277,141.943,3629.99,0.998678,0,663
1306.97,623.416,73.4434,22.9372,7.47395,69.8736,6318.57,0.997537,0,664
384.958,619.703,237.38,34.1567,2.41025,142.4,20865.5,0.999793,0,665
596.4,831.505,44.4407,36.747,76.238,84.8835,25981.4,0.995117,0,668
541.037,675.026,44.3318,18.6952,53.2915,83.8413,3421.28,0.999098,0,671
773.776,628.424,41.5461,14.5245,22.8297,136.205,1604.36,0.997662,0,674
637.195,930.423,92.3495,41.1607,73.2773,83.1626,36513,0.998333,0,678
1272.1,639.583,56.4232,21.4748,13.7648,94.2756,5185.47,0.996019,0,682
265.428,716.165,85.7794,30.7658,20.9514,80.6693,15247.7,0.994944,0,683
147.535,632.3,189.067,35.1803,3.44422,136.627,22798,0.999558,0,685
1275.95,623.35,0.325,1.01607,0,90,0.54925,1,0,688
657.15,626.925,0,1.01607,90,90,0.54925,1,0,693
168.318,645.591,83.9358,23.8203,9.7552,78.3301,7076.81,0.99832,0,694
640.493,672.375,33.6407,16.9087,51.8078,70.5481,2531.22,0.997964,0,695
851.898,637.012,41.5573,18.5128,8.85051,122.359,3322.14,0.990679,0,696
654.771,721.012,36.7419,31.9921,81.5222,83.3376,17144.6,0.998682,0,699
307.158,639.689,32.258,17.2515,9.44885,51.7424,2688.3,0.99055,0,703
47.9726,704.146,96.6509,23.3699,34.2486,91.1626,6683,0.999489,0,711
136.883,646.732,119.846,23.6674,4.18263,92.0521,6941.42,0.999296,0,712
626.966,667.224,30.5482,15.8744,43.6759,66.1557,2094.56,0.993237,0,713
390.792,640.104,10.0744,9.50452,10.3667,115.303,449.561,0.958782,0,715
168.355,645.114,11.3554,10.4183,23.9995,136.857,592.091,0.946246,0,718
228.553,646.062,34.8998,15.5797,7.44275,77.3712,1980.05,0.994698,0,719
9.39253,659.052,42.4415,17.8145,20.509,110.372,2960.18,0.996551,0,723
1322.52,649.561,20.6483,12.7017,6.67783,70.9545,1072.96,0.994172,0,725
55.0659,676.118,82.6568,22.6358,19.4365,104.937,6072.78,0.998703,0,727
912.878,648.597,3.59995,7.8207,22.8971,173.634,250.458,0.804537,0,729
554.015,702.633,30.7184,19.3372,59.8252,76.3432,3785.98,0.998257,0,730
778.674,675.357,91.8743,23.6649,15.8853,100.805,6939.22,0.99894,0,731
170.435,653.714,2.66645,7.89713,43.717,112.096,257.873,0.343223,0,733
165.047,680.674,123.513,26.6613,12.1446,72.8366,9923.02,0.999351,0,734
1300.84,680.586,117.177,27.8753,11.4652,67.499,11341.2,0.998649,0,737
705.612,1059.59,65.4248,72.6865,78.8064,82.089,201075,0.9537,0,738
1184.66,708.132,98.0492,30.3059,21.9252,64.1972,14574.1,0.989856,0,739
281.385,668.723,60.3196,19.3545,8.47329,103.322,3796.14,0.997744,0,742
1003.81,679.071,70.9899,20.5632,16.8022,130.648,4552.73,0.998791,0,743
1323.8,663.205,24.1877,8.4418,5.17596,84.3845,314.995,0.999846,0,747
1118.51,885.424,239.513,65.9075,6.38584,69.3077,149901,0.995047,0,748
1177.02,673.506,62.3922,18.3544,10.7665,110.767,3237.55,0.998126,0,749
1277.9,662.065,8.9077,9.99371,2.7495,140.367,522.611,0.932003,0,750
1318.43,672.745,42.66,16.9063,5.63703,60.1493,2530.12,0.990182,0,756
334.679,689.823,61.2898,24.3324,31.7635,105.345,7543.12,0.993763,0,757
630.554,679.376,9.92069,9.48318,50.071,62.0631,446.54,0.989634,0,761
990.81,673.668,0.191176,2.6126,88.4966,98.7624,9.33725,0.966468,0,768
486.511,674.05,3.8372,4.77057,18.1307,77.1876,56.8474,0.92977,0,770
581.289,707.471,4.48065,13.9483,78.8722,93.4069,1420.91,0.989853,0,771
179.827,676.391,18.3077,11.6633,3.553,158.654,830.741,0.984749,0,775
352.204,677.89,39.6083,15.6106,2.3923,113.828,1991.85,0.996253,0,776
848.627,689.749,8.19244,11.671,55.6994,80.9365,832.388,0.970892,0,777
463.598,681.9,1.14936,4.96248,84.2287,138.88,63.9876,0.845283,0,781
880.781,708.521,111.92,23.2039,20.785,136.348,6541.57,0.999484,0,782
513.117,747.849,46.8528,20.1854,53.2245,89.5603,4306.39,0.998921,0,785
642.617,764.691,10.7437,19.6817,80.7713,94.7974,3991.95,0.998454,0,786
1292.62,684.385,0.078,2.97101,87.8772,114.807,13.7312,0.987089,0,787
426.411,686.504,122.833,28.313,1.23947,176.126,11883.8,0.998947,0,791
817.05,683.15,0.325,1.01607,0,90,0.54925,1,0,792
178.471,695.511,78.4724,25.566,2.72388,103.442,8749.55,0.998061,0,793
